rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,drama_or_comedy
m/breaker_morant,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,A,2010-05-14,It's deservedly one of the most acclaimed Australian films.,'Breaker' Morant,"In South Africa during the Second Boer War, Australian Army Lieutenants Harry ""Breaker"" Morant (Edward Woodward), Peter Handcock (Bryan Brown) and George Witton (Lewis Fitz-Gerald) stand accused of the murders of six Boer prisoners and the assassination of a German missionary. British Commander-in-Chief Lord Kitchener is determined to see the men found guilty, which he can use as a bargaining chip in an impending peace conference with the Boers.",,PG,"Art House & International, Drama",Bruce Beresford,"David Stevens, Jonathan Hardy, Bruce Beresford, John Hardy","Edward Woodward, Jack Thompson, Bryan Brown, Rod Mullinar, Lewis Fitz-Gerald, John Waters, Charles 'Bud' Tingwell, Vincent Ball, Frank Wilson, Terence Donovan, Russell Kiefel, Alan Cassell, Judy Dick, Barbara West, Ray Meagher, Rob Steele, Wayne Bell, Ian Gray, Dick Henderson, Alan Lovett",1980-05-01,2017-05-22,107.0,Live Home Video,Fresh,100.0,23.0,Upright,91.0,4939.0,0,23,0,Drama
m/white_dog,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2006-10-12,Compelling oddball thriller about a racist dog who only attacks blacks is directed by the always interesting Sam Fuller.,White Dog,"An animal-trainer (Paul Winfield) tries to deprogram an actress's (Kristy McNichol) found dog, trained for racial attacks.",,PG,Drama,Samuel Fuller,"Curtis Hanson, Samuel Fuller","Kristy McNichol, Paul Winfield, Burl Ives, Jameson Parker, Lynne Moody, Marshall Thompson, Bob Minor, Vernon Weddle, Christa Lang, Tony Brubaker, Samuel Fuller, Martine Dawson, Barry Alexander Brown, Parley Baer, Clifford A. Pellow, Karl Lewis Miller, Karrie Emerson, Helen Siff, Glenn D. Garner, Terrence Beasor, Richard Monohan, Neyle Morrow, Richard Monahan, Hubert Wells, Dick Miller, Kid Rock, Cliff Pellow, Sam Laws, Samantha Fuller, Jamie Crowe, Joseph R. Hornok, George Fisher, Nick Vanoff, Glen Garner",1982-01-01,2017-01-12,90.0,Paramount Pictures,Fresh,92.0,13.0,Upright,73.0,2316.0,0,12,1,Drama
m/1000626-all_about_eve,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2007-07-12,Still retains its stagy power to provoke theater lovers by its elaborate wit and campy bad taste.,All About Eve,"Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway mega-star Margo Channing, telling a melancholy life story to Margo and her friends. Margo takes Eve under her wing, and it appears that Eve is a conniver that uses Margo.","Smart, sophisticated, and devastatingly funny, All About Eve is a Hollywood classic that only improves with age.",PG,"Classics, Drama",Joseph L. Mankiewicz,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, Gary Merrill, George Sanders, Celeste Holm, Hugh Marlowe, Thelma Ritter, Marilyn Monroe, Gregory Ratoff, Barbara Bates, Walter Hampden, Randy Stuart, Craig Hill, Leland Harris, Barbara White, Eddie Fisher, William Pullen, Claude Stroud, Eugene Borden, Helen Mowery, Steven Geray, Bess Flowers, Ed Fisher, Steve Geray",1950-01-01,2015-11-25,138.0,20th Century Fox,Certified-Fresh,99.0,77.0,Upright,94.0,45248.0,22,76,1,Drama
m/outlaw_josey_wales,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,A-,2004-10-02,A top-notch Western.,The Outlaw Josey Wales,"Josey Wales (Clint Eastwood) watches helplessly as his wife and child are murdered, by Union men led by Capt. Terrill (Bill McKinney). Seeking revenge, Wales joins the Confederate Army. He refuses to surrender when the war ends, but his fellow soldiers go to hand over their weapons -- and are massacred by Terrill. Wales guns down some of Terrill's men and flees to Texas, where he tries to make a new life for himself, but the bounty on his head endangers him and his new surrogate family.","Recreating the essence of his iconic Man With No Name in a post-Civil War Western, director Clint Eastwood delivered the first of his great revisionist works of the genre.",PG,"Action & Adventure, Drama, Western",Clint Eastwood,"Philip Kaufman, Sonia Chernus","Clint Eastwood, Chief Dan George, Sondra Locke, Bill McKinney, John Vernon, Paula Trueman, Sam Bottoms, Geraldine Keams, Woodrow Parfrey, Joyce Jameson, Sheb Wooley, Royal Dano, Matt Clark, John Verros, Will Sampson, William O'Connell, John Quade, Buck Kartalian, Len Lesser, John Russell, Charles Tyner, John Mitchum, Doug McGrath, Cissy Wellman, Bruce M. Fischer, Clay Tanner, Bob Hoy, Erik Holland, Danny Green",1976-06-30,2011-06-01,135.0,Warner Home Video,Certified-Fresh,90.0,41.0,Upright,92.0,46791.0,6,37,4,Drama
m/model_shop,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,A,2009-10-18,A brilliant bitter-sweet understated look at life in America during the Viet Nam War.,Model Shop,"With the threat of the Vietnam draft looming over his head and the realities of unemployment sinking in, 26-year-old Californian George Matthews (Gary Lockwood) becomes increasingly hopeless about his future. Failing to relate to his live-in girlfriend, Gloria (Alexandra Hay), the young man finds himself drawn to Lola (Anouk Aimée), a model whom he photographs. In a desperate bid to make a meaningful connection, George decides to take a chance on having a romantic tryst with Lola.",,PG,Drama,Jacques Demy,Jacques Demy,"Anouk Aimée, Gary Lockwood, Alexandra Hay, Carol Cole, Severn Darden, Tom Holland, Neil Elliot, Jacqueline Miller, Anne Randall, Duke Hobbie, Hilary Thompson, Craig Littler, Hilarie Thompson, Jeanne Sorel, Jon Lawson, David Mink, Jay Ferguson, Jon Hill, Fred Willard, Ken Prymus",1968-01-01,2019-08-06,90.0,s,Fresh,83.0,6.0,Spilled,44.0,250.0,0,5,1,Drama
m/the_walk_2015,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2015-10-10,The human interest pic takes us to great heights.,The Walk,"As a boy, Philippe Petit dreams of performing daring feats for dazzled crowds. As an adult (Joseph Gordon-Levitt), his life's ambition comes true when he becomes a high-wire artist who stares death in the face with every step. Under the guidance of mentor Papa Rudy, the French daredevil devises a plan to walk on a tightrope attached to the north and south towers of the World Trade Center. With help from his team and against all odds, Petit attempts the seemingly impossible stunt on Aug. 7, 1974.","The Walk attempts a tricky balancing act between thrilling visuals and fact-based drama -- and like its wire-walking protagonist, pulls it off with impressive élan.",PG,"Action & Adventure, Drama",Robert Zemeckis,Robert Zemeckis,"Joseph Gordon-Levitt, Charlotte Le Bon, Ben Kingsley, James Badge Dale",2015-10-09,2016-08-10,124.0,Sony Pictures,Certified-Fresh,83.0,272.0,Upright,77.0,36051.0,53,226,47,Drama
m/i_walked_with_a_zombie,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,A,2000-01-01,Tourneau's direction is both incredible and magical.,I Walked With a Zombie,"Canadian nurse Betsey Connell (Frances Dee) is hired to care for Jessica Holland (Christine Gordon), a woman on a Caribbean sugar plantation, who has a bizarre condition. The mysterious affliction baffles Betsy but when she falls for Jessica's husband, Paul (Tom Conway), she is determined to make him happy by curing his wife. However, in her quest, Betsey is drawn into the island's dark culture of voodoo and zombies and begins to uncover the Holland family's sinister secrets.","Evocative direction by Jacques Tourneur collides with the low-rent production values of exploitateer Val Lewton in I Walked with a Zombie, a sultry sleeper that's simultaneously smarmy, eloquent and fascinating.",PG,"Drama, Horror, Romance",Jacques Tourneur,"Curt Siodmak, Ardel Wray","James Ellison, Frances Dee, Tom Conway, Edith Barrett, James Bell, Christine Gordon, Theresa Harris, Sir Lancelot, Darby Jones, Jeni Le Gon, Richard Abrams, Martin Wilkins, Jieno Moxzer, Arthur Walker, Katheleen Hartfield, Clinton Rosemond, Alan Edmiston, Norman Mayes, Melvin Williams, Vivian Dandridge",1943-01-01,2012-05-08,69.0,Warner Home Video,Fresh,93.0,27.0,Upright,73.0,5024.0,5,28,4,Drama
m/1010030-house_of_wax,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2001-09-06,A more conventional and not as absorbing remake of Mystery of the Wax Museum...,House of Wax,"Wax sculptor Henry (Vincent Price) is horrified to learn that his business partner, Matthew (Roy Roberts), plans on torching their wax museum to collect on the insurance policy. Henry miraculously survives a fiery confrontation with Matthew and re-emerges some years hence with a museum of his own. But when the appearance of Henry's new wax sculptures occurs at the same time that a number of corpses vanish from the city morgue, art student Sue Allen (Phyllis Kirk) begins suspecting wrongdoing.",House of Wax is a 3-D horror delight that combines the atmospheric eerieness of the wax museum with the always chilling presence of Vincent Price.,PG,"Drama, Horror, Mystery & Suspense",André De Toth,Crane Wilbur,"Vincent Price, Carolyn Jones, Frank Lovejoy, Phyllis Kirk, Paul Picerni, Roy Roberts, Paul Cavanagh, Angela Clarke, Dabbs Greer, Charles Bronson, Reggie Rymal, Philip Tonge, Ruth Warren, Riza Royce, Grandon Rhodes, Frank Ferguson, Eddie Parks, Oliver Blake, Leo Curley, Mary Lou Holloway, Trude Wyler, Ned Young, Joanne Brown, Lyle Latell, Darwin Greenfield, Jack Kenney, Merry Townsend, Jack Mower, Ruth Whitney, Richard Benjamin",1953-04-10,2016-04-19,88.0,Warner Bros. Pictures,Certified-Fresh,95.0,42.0,Upright,72.0,41371.0,6,40,2,Drama
m/tess,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2014-02-06,Unexciting.,Tess,"In Roman Polanski's take on ""Tess of the D'Urbervilles,"" impressionable young Tess (Nastassja Kinski) is sent by her alcoholic father to visit her rich relatives and apply for a job. She's taken in and immediately seduced by her cousin, Alec (Leigh Lawson), who leaves her pregnant. She keeps it to herself and, after the child dies, begins a relationship with a respectable farmer, Angel (Peter Firth). They marry, but when Angel learns of her speckled past, he's not sure he can live with it.","A reverent adaptation of Thomas Hardy's novel, Tess marries painterly cinematography and unhurried pacing to create an epic ode to perseverance.",PG,Drama,Roman Polanski,"Gérard Brach, Roman Polanski, John Brownjohn","Nastassja Kinski, Leigh Lawson, Peter Firth, Tony Church, John Collin, David Markham, Rosemary Martin, Richard Pearson, Carolyn Pickles, Pascale de Boysson, John Bett, Dicken Ashworth, Tom Chadbon, John Barrett, Sylvia Coleridge, Caroline Embling, Arielle Dombasle, Fred Bryant, Keith Buckley, Brigid Eric Bates, Jeanne Biras, Peter Benson, Josine Comellas, Forbes Collins, Patsy Smart, Graham Weston, Lesley Dunlop, Jimmy Gardner, John Gill, Suzanna Hamilton, John Moore (III), Patsy Rowlands, Jacob Weizbluth, Marilyne Even",1979-10-01,2017-01-19,170.0,Criterion Collection,Fresh,81.0,26.0,Upright,78.0,6331.0,6,21,5,Drama
m/raise_ravens,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,A,2009-01-08,An hypnotic arthouse psychological drama that complexly mixes reality and fantasy.,Raise Ravens (Cria Cuervos),A little girl (Ana Torrent) and her sisters are placed with an aunt (Geraldine Chaplin) in Madrid after their father dies during adultery.,,PG,"Art House & International, Drama, Mystery & Suspense",Carlos Saura,Carlos Saura,"Ana Torrent, Geraldine Chaplin, Conchita Perez, Maite Sanchez Alexandros, Mónica Randall, Florinda Chico, Héctor Alterio, Germán Cobos, Mirta Miller, Josefina Diaz, Maite Sanchez",1976-01-01,2015-06-02,115.0,Criterion Collection,Fresh,100.0,16.0,Upright,94.0,3491.0,5,16,0,Drama
m/joe_kidd,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B-,2004-11-06,Entertaining but senseless.,Joe Kidd,"In New Mexico, one-time bounty hunter Joe Kidd (Clint Eastwood) owns a ranch where a nearby group of Mexican revolutionaries, led by Luis Chama (John Saxon), fights for their rightful land after the U.S. government denies their claims. In response, a greedy landowner (Robert Duvall) gathers a posse to capture Chama and solicits Kidd's assistance. Kidd, who has no interest in the matter, changes his mind when he discovers Chama has stolen a horse and roughed up a worker from his ranch.",,PG,"Action & Adventure, Classics, Drama, Western",John Sturges,Elmore Leonard,"Clint Eastwood, Robert Duvall, John Saxon, Stella Garcia, Don Stroud, James Wainwright, Paul Koslo, Gregory Walcott, Dick Van Patten, Lynne Marta, John Carter, Pepe Hern, Joaquín Martínez, Gil Baretto, Ron Soble, Pepe Callahan, Clint Ritchie, Gil Barreto, Ed Deemer, Maria Val, Chuck Hayward, Michael R. Horst",1972-01-01,2015-05-07,88.0,Universal Studios,Fresh,88.0,8.0,Spilled,54.0,8361.0,1,7,1,Drama
m/candidate,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B+,2000-01-01,"This Hollywood film has passed the test of time and is still a good watch, especially, during an election year.",The Candidate,"Without a candidate to run for the senate seat against admired Republican Crocker Jarmon (Don Porter), campaign manager Marvin Lucas (Peter Boyle) recruits leftist lawyer Bill McKay (Robert Redford). McKay's appearance piques the public's interest, and gradually Lucas pushes McKay toward a more centrist message. As McKay's original and honest platform gets watered down, his popularity increases so much that he is running even with Jarmon as Election Day approaches.","The Candidate may not get all the details right when it comes to modern campaigning, but it captures political absurdity perfectly -- and boasts typically stellar work from Robert Redford to boot.",PG,"Classics, Drama",Michael Ritchie,"Jeremy Lerner, Jeremy Larner","Robert Redford, Peter Boyle, Melvyn Douglas, Allen Garfield, Don Porter, Michael Lerner, Karen Carlson, Broderick Crawford, Morgan Upton, Kenneth Tobey, Christopher Pray, Joseph Miksak, Jenny Sullivan, Tom Dahlgren, Gerald Hiken, Terry McGovern, Leslie Allen, Susan Demott, Jason Goodrow, Robert De Anda, Robert Goldsby, Michael Barnicle, Barry Sullivan, Lois Fraker, David Moody, George Meyer, Dudley Knight, Natalie Wood, Hubert H. Humphrey, George McGovern, John V. Tunney, Quinn K. Redeker, Sam Yorty, Howard K. Smith, Gene S. Cantamessa, Van Amberg, Jesse Birnbaum, Alan Cranston, Maury Green, Lu Hurley, Walter Krabien, Robert H. Moretti, Rollin Post, Bill Stout, Dick Whittington, Richard Bergholtz, Ken Cory, Judy Hayward, Cedrick Hardman, Fred Harris, Ken Jones, Grover Lewis, Terence McGovern, Harvey Orkin, Jerry Waldie, Jesse M. Unruh, Pat Harrington Jr.",1972-08-23,2008-01-01,110.0,Warner Bros. Pictures,Fresh,87.0,31.0,Upright,74.0,4975.0,7,27,4,Drama
m/road_games,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2015-09-07,Under the radar Hitchcock influenced thriller is a road version of Rear Window.,Road Games,An Australian trucker (Stacy Keach) picks up a hitchhiking heiress (Jamie Lee Curtis) and the trail of a killer in a green van.,,PG,"Action & Adventure, Art House & International, Drama, Mystery & Suspense",Richard Franklin,Everett De Roche,"Stacy Keach, Jamie Lee Curtis, Marion Edward, Grant Page, Bill Stacey, Thaddeus Smith, Alan Hopgood, John Murphy, Robert Thompson, Colin Vancao",1981-01-01,2017-05-22,100.0,AVCO Embassy Pictures,Fresh,91.0,11.0,Upright,62.0,1912.0,4,10,1,Drama
m/hidden_figures,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2016-12-13,The worthy upbeat historical film on the early pioneers of NASA never fails to point out how courageous and saintly were its three black protagonists..,Hidden Figures,"Three brilliant African-American women at NASA -- Katherine Johnson (Taraji P. Henson), Dorothy Vaughan (Octavia Spencer) and Mary Jackson (Janelle Monáe) -- serve as the brains behind one of the greatest operations in history: the launch of astronaut John Glenn (Glen Powell) into orbit, a stunning achievement that restored the nation's confidence, turned around the Space Race and galvanized the world.","In heartwarming, crowd-pleasing fashion, Hidden Figures celebrates overlooked -- and crucial -- contributions from a pivotal moment in American history.",PG,Drama,Ted Melfi,"Allison Schroeder, Ted Melfi","Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kirsten Dunst, Jim Parsons, Mahershala Ali, Kevin Costner, Kimberly Quinn, Glen Powell, Aldis Hodge, Ariana Neal, Maria Howell, Jaiden Kaine, Wilbur Fitzgerald, Scott Michael Morgan, Cullen Moss, Rhoda Griffis, Dane Davenport, Bob Jennings, Alkoya Brunson, Ron Clinton Smith, Joe Knezevich, Kurt Krause, Cody Carrera",2017-01-06,2017-03-28,127.0,20th Century Fox,Certified-Fresh,93.0,314.0,Upright,93.0,58494.0,45,292,22,Drama
m/mcq,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B-,2006-01-24,"A rethinking, if you will, by the Duke of turning down the role of Dirty Harry.",McQ,A police officer unearths departmental corruption when he learns his murdered partner was one of many crooked cops.,,PG,"Action & Adventure, Classics, Drama, Mystery & Suspense",John Sturges,Lawrence Roman,"John Wayne, Eddie Albert, Diana Muldaur, Colleen Dewhurst, Clu Gulager, David Huddleston, James Louis Watkins, Al Lettieri, Julie Adams, Roger E. Mosley, William Bryant, Joe Tornatore, Kim Sanford, Richard Kelton, Richard Eastham, Dick Friel, Fred Waugh (II), Chuck Roberson",1974-02-06,2009-01-01,116.0,WARNER BROTHERS PICTURES,Rotten,44.0,9.0,Spilled,57.0,4417.0,1,4,5,Drama
m/1000654-all_the_kings_men,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2006-09-25,It's inspired by the career of populist Louisiana governor (1928-32) and Democratic U.S. Senator (1932-35) Huey Long.,All the King's Men,"Drama about the rise and fall of a corrupt southern governor who promises his way to power. Broderick Crawford portrays Willie Stark, who, once he is elected, finds that his vanity and power lust prove to be his downfall. The film is based on the 1946 Pulitzer Prize-winning novel by Robert Penn Warren.",Broderick Crawford is spellbinding as politician Willie Stark in director Robert Rossen's adaptation of the Robert Penn Warren novel about the corrosive effects of power on the human soul.,PG,"Classics, Drama",Robert Rossen,"Robert Rossen, Robert Penn Warren","Broderick Crawford, Mercedes McCambridge, John Derek, Joanne Dru, John Ireland, Shepperd Strudwick, Ralph Dumke, Anne Seymour, Katherine Warren, Raymond Greenleaf, Walter Burke, Will Wright, Grandon Rhodes, H.C. Miller, Richard Hale, William Bruce, A.C. Tillman, Houseley Stevenson Sr., Truett Myers, Phil Tully, Helene Stanley, Judd Holdren, King Donovan, Paul Ford, Ted French, Louis Mason, Paul Maxey, John 'Skins' Miller, Pat O'Malley, Frank Wilcox",1949-11-08,2013-05-01,109.0,Sony Pictures Home Entertainment,Certified-Fresh,95.0,42.0,Upright,78.0,4866.0,9,40,2,Drama
m/1013884-mighty_joe_young,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B-,2005-07-24,Though in the shadows of Kong it still brings back fond memories of how to make a special effect film back in the old days.,Mighty Joe Young,"Jill Young (Terry Moore) has raised Joe, her gentle pet gorilla, since he was a baby. When a Hollywood, Calif., nightclub owner (Robert Armstrong) travels to Africa and notices the amazing animal, he pursuades Jill to send Joe to Hollywood. But Joe grows restless performing for crowds and finally breaks free from captivity, wreaking havoc on the city. To save Joe from the authorities, who want him dead, Jill must create an elaborate plan to send him back to Africa.",,PG,"Action & Adventure, Classics, Drama, Science Fiction & Fantasy",Ernest B. Schoedsack,Ruth Rose,"Terry Moore, Ben Johnson, Robert Armstrong, Frank McHugh, Mr. Joseph Young, Douglas Fowley, Denis Green, Paul Guilfoyle, Nestor Paiva, Regis Toomey, Lora Lee Michel, James Flavin, Dale Van Sickel, Primo Carnera, William ""Wee Willie"" Davis, Henry Kulky, Selmer Jackson, Ellen Corby, Selmar Jackson, Addison Richards, Sammy Stein, Karl (Killer) Davis, Ian Batchelor, Alf Dean, Sammy Menacker, Ivan Rasputin, Phil ""Swedish Angel"" Olafsson, Iris Adrian, Mary Gordon, Irene Ryan",1949-01-01,2016-05-23,94.0,RKO Radio Pictures Inc.,Fresh,95.0,20.0,Upright,63.0,7776.0,1,19,1,Drama
m/the_leopard_1963,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,A,2011-02-22,Artistically drawn as if from an old master's hand.,The Leopard,"As Garibaldi's troops begin the unification of Italy in the 1860s, an aristocratic Sicilian family grudgingly adapts to the sweeping social changes undermining their way of life. Proud but pragmatic Prince Don Fabrizio Salina (Burt Lancaster) allows his war hero nephew, Tancredi (Alain Delon), to marry Angelica (Claudia Cardinale), the beautiful daughter of gauche, bourgeois Don Calogero, in order to maintain the family's accustomed level of comfort and political clout.","Lavish and wistful, The Leopard features epic battles, sumptuous costumes, and a ballroom waltz that competes for most beautiful sequence committed to film.",PG,"Art House & International, Classics, Drama",Luchino Visconti,"Suso Cecchi d'Amico, Luchino Visconti, Enrico Medioli, Pasquale Festa Campanile, Massimo Franciosa","Burt Lancaster, Alain Delon, Claudia Cardinale, Rina Morelli, Paolo Stoppa, Romolo Valli, Serge Reggiani, Pierre Clémenti, Marino Masé, Lucilla Morlacchi, Ida Galli, Ottavia Piccolo, Carlo Valenzano, Anna-Maria Bottini, Terence Hill, Leslie French, Olimpia Cavalli, Sandra Chistolini, Brook Fuller, Giuliano Gemma, Giovanni Melisendi, Howard Nelson-Rubien, Lola Braccini, Ivo Garrani, Vittorio Duse, Alberto Carlo Lolli, Franco Gula, Giovanni Materassi, Carmelo Artale, Marie Bell, Anna Maria Surdo, Amalia Troiani, Alina Zalewska, Winni Riva, Giuseppe Spagnitti, Rosolino Bua, Dante Posani, Stelvio Rosi, Tina Lattanzi, Marcella Rovena, Rina De Liguoro, Valerio Ruggeri, Carlo Palmucci",1963-07-15,2016-08-10,165.0,Criterion Collection,Certified-Fresh,98.0,47.0,Upright,89.0,8540.0,20,46,1,Drama
m/invincible,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2006-08-25,It's Rocky with shoulder pads.,Invincible,"Lifelong football fan Vince Papale (Mark Wahlberg) sees his wildest dreams come true when he becomes a member of the Philadelphia Eagles. While teaching at his high-school alma mater in Pennsylvania, the 30-year-old gets a chance to try out for his favorite team and, except for kickers, becomes the oldest rookie in NFL history who never played football in college.","As simple and authentic as the gritty South Philly invirons in which it's set in, Invincible sends a uplifting and heartfelt message packed with an athletic enthusiasm that shouldn't be missed.",PG,"Drama, Sports & Fitness",Ericson Core,Brad Gann,"Mark Wahlberg, Greg Kinnear, Elizabeth Banks, Kevin Conway, Michael Rispoli, Kirk Acevedo, Dov Davidoff, Michael Kelly, Michael Nouri, Sal Darigo, Nicoye Banks, Turron Kofi Alleyne, Stink Fisher, Michael Mulheren, Jack Kehler, Lola Glaudini, Paige Turco, Lynn Cohen, James Murtaugh, Dominick Cicco, Franklin Ojeda Smith, Rick Reilly, Randy Couture, Frederick Strother, Timothy F. Crowley, Earle Masciulli, Jeffrey Lee Gibson, Brian Hayes Currie, Michael S. Brainard, Patrick Walsh, Bryan Donoghue, Tony Luke Jr., Anthony Lawton, Patrick F. McDade, Johnny Leslie Wolfe, Fred Strother, Tim Crowley, Tim Lamendola, Susan Moses, Kerry Shawn Duffy, Cosmo Dematteo, Paul Laquerre, Brian Scott Fitzgerald, Kevin Ingram, Tristan Phillips, Morgan Turner, Michael McCarthy, Tony Luke, Mark Simms, Frank Ferrara, Jimmy Palumbo, Johnny Alves, Peter DiStefano, Pride Grinn, Daniel Spink, Jimmy Graham, John Leslie Wolfe, Michael P. Hayes, Justin Goncalves, Joe Thompson, Frank Kosman, Charles Pendleton, James A. Carr, Joe Guglielmucci, Anthony R. Duncan, Harry Donahue, Merrill Reese, Mike Quick, Mark Robert Ellis, Sean Graham, Chris Place, Thomas Place, Jared Burke, Ralph ""Cliff"" Dell, Tim Lajcik, Kevin Cassidy, J.J. Dashnaw, Mike Ribaudo",2006-08-25,2016-05-27,104.0,Buena Vista,Fresh,72.0,136.0,Upright,73.0,87661.0,35,98,38,Drama
m/dead_poets_society,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B-,2011-04-23,Falters when it goes for too much heart-tugging manipulation.,Dead Poets Society,"A new English teacher, John Keating (Robin Williams), is introduced to an all-boys preparatory school that is known for its ancient traditions and high standards. He uses unorthodox methods to reach out to his students, who face enormous pressures from their parents and the school. With Keating's help, students Neil Perry (Robert Sean Leonard), Todd Anderson (Ethan Hawke) and others learn to break out of their shells, pursue their dreams and seize the day.",Affecting performances from the young cast and a genuinely inspirational turn from Robin Williams grant Peter Weir's prep school drama top honors.,PG,Drama,Peter Weir,Tom Schulman,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, Gale Hansen, Dylan Kussman, Allelon Ruggiero, James Waterston, James Waterson, Norman Lloyd, Carla Belver, Leon Pownall, Kurtwood Smith, George Martin, Joe Aufiery, Kevin Cooney, Jane Moore, Lara Flynn Boyle, Alexandra Powers, Melora Walters, Alan Pottinger, John Cunningham, Debra Mooney, Charles N. Lord",1989-06-02,2016-08-09,128.0,Buena Vista Pictures,Certified-Fresh,84.0,57.0,Upright,92.0,307114.0,10,48,9,Drama
m/the_dead,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,A,2008-06-22,One of cinema's best literary adaptations.,The Dead,"A festive holiday dinner in Ireland at the turn of the 20th century brings epiphanies for a married couple. At the home of his spinster aunts Kate (Helena Carroll) and Julia (Cathleen Delaney), the socially maladroit Gabriel Conroy (Donal McCann) and his reserved wife, Gretta (Anjelica Huston), reflect on their marriage, Gretta's memories of her first love and what it means both to live and to love. Director John Huston's final film is a faithful adaptation of the James Joyce short story.",,PG,"Art House & International, Drama",John Huston,Tony Huston,"Anjelica Huston, Donal McCann, Helena Carroll, Rachel Dowling, Cathleen Delaney, Cathleen Delany, Dan O'Herlihy, Rachael Dowling, Ingrid Craigie, Frank Patterson, Donal Donnelly, Marie Kean, Maria McDermottroe, Sean McClory, Kate O'Toole, Maria Hayden, Bairbre Dowling, Barbre Dowling, Lyda Anderson, Dara Clarke, Colm Meaney, Cormac O'Herlihy, Paul Grant, Patrick Gallagher, Amanda Baird, Paul Carroll, Redmond Gleeson, Redmond M. Gleason, Brendan Dillon",1987-12-17,2016-05-13,81.0,Vestron UK Ltd.,Fresh,93.0,29.0,Upright,78.0,2813.0,10,27,2,Drama
m/wonder,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B-,2017-11-19,"The message is delivered decrying bullying, but it's delivered heavy-handed.",Wonder,"Born with facial differences that, up until now, have prevented him from going to a mainstream school, Auggie Pullman becomes the most unlikely of heroes when he enters the local fifth grade. As his family, his new classmates, and the larger community all struggle to discover their compassion and acceptance, Auggie's extraordinary journey will unite them and prove you can't blend in when you were born to stand out.","Wonder doesn't shy away from its bestselling source material's sentiment, but this well-acted and overall winsome drama earns its tugs at the heartstrings.",PG,Drama,Stephen Chbosky,"Jack Thorne, Steven Conrad, Stephen Chbosky","Julia Roberts, Owen Wilson, Jacob Tremblay, Izabela Vidovic, Mandy Patinkin, Daveed Diggs, Sonia Braga, Danielle Rose Russell, Nadji Jeter, Noah Jupe, Bryce Gheisar, Millie Davis, Elle McKinnon, Ali Liebert, Emma Tremblay, Rachel Hayward, Mark Dozlaw, Rukiya Bernard, Jennifer March, Ty Consiglio, Kyle Harrison Breitkopf, James Hughes, J. Douglas Stewart, Joseph Gordon, Cameron Roberts, Erika McKitrick, Ben Ratner, Jason McKinnon, Izzy Lieberman, Hannah Hoberman, Michael Alan Healy, Nicole Oliver, Emily- Rose Delahunty, Lucia Thain, Sasha Neuhaus, Callahan Brebner, Caleb Gordon, Grayson Maxwell Gurnsey, Emily Giannozio, Haley Goldin, Macie Margaret Chbosky, Victoria Cruz, Crystal Lowe, Steve Bacic, Armen Henry Bagdasarov, Lidya Jewett, Kaelyn Breitkopf",2017-11-17,2018-01-30,113.0,Lionsgate,Certified-Fresh,85.0,190.0,Upright,88.0,18946.0,36,162,28,Drama
